#   XYZ data converted from README.txt
#  https://sites.uef.fi/spectral/munsell-colors-glossy-all-spectrofotometer-measured/
#  adapted to Illuminant E for simplicity

"X" "Y" "Z"
"5BG5/6" 13.9864672558012 19.1029187549507 21.8244363385614
"5BG5/8" 12.3069117383839 19.044442391688 23.0065349844747
"5BG5/10" 10.7299395692189 18.9877547667444 24.2543198654271
"5BG6/2" 26.5807617895021 29.2203933480038 30.1365022486065
"5BG6/4" 24.0908478509445 29.1435685349776 31.1259530431265
"5BG6/6" 21.9199158013538 29.0736086017861 32.2188950823084
"5BG6/8" 19.8431479915791 29.0049242214614 33.4004683190061
"5BG6/10" 17.8638787479683 28.9388319111728 34.5754852701452
"5BG7/2" 38.3840702807152 41.8829044027041 42.7492622790118
"5BG7/4" 35.3329369431354 41.7917428535443 43.7313099446036
"5BG7/6" 32.6952530063308 41.7104902713747 44.769305259491
"5BG7/8" 29.8394560783318 41.621128708356 46.0006446944613
"5BG8/2" 53.0336009836033 57.4935378193049 58.2502785909797
"5BG8/4" 49.120130391566 57.3816327294634 59.121534022822
"5BG9/2" 70.7892176971323 76.5379751579288 77.1380703639565
"5G2/2" 2.63450818926309 3.04172036344388 2.7201699073484
"5G2/4" 2.14398268313594 3.03367916809207 2.36647357081568
"5G2/6" 1.71418654953091 3.02587226622624 2.1154409508939
"5G3/2" 5.57443474437898 6.37895560508504 5.7120264315455
"5G3/4" 4.69573664289079 6.36508623648124 5.03704768556479
"5G3/6" 3.95422891573505 6.35237690329176 4.54520838253776
"5G3/8" 3.34259319765716 6.34092129976524 4.21470682661307
"5G4/2" 10.3554001712051 11.6814494497938 10.5178032612099
